classifier,author,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
Logit,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5555426670978758,Split
kNN,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4883081155433288,Split
SVM,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48854240669921545,Split
RandomForest,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48854240669921545,Split
Logit,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.6752993653234408,Split
kNN,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5053103588012172,Split
SVM,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5359680388507866,Split
RandomForest,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48085898703467017,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48666031625071443,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5035511526004953,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48666031625071443,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48666031625071443,Split
Logit,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
kNN,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
SVM,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
RandomForest,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4868965517241379,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4859496466547644,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4868965517241379,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4864240807772909,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4802047114896277,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5027729088581016,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4802047114896277,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5857374356255362,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
Logit,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48877669785510225,Split
kNN,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5446502911996195,Split
SVM,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48877669785510225,Split
RandomForest,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48877669785510225,Split
Logit,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
kNN,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
SVM,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
RandomForest,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
Logit,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4838110648790261,Split
kNN,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4976845207463177,Split
SVM,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4838110648790261,Split
RandomForest,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4973684748620271,Split
Logit,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46346129055062774,Split
kNN,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5258993104726933,Split
SVM,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46346129055062774,Split
RandomForest,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46294414552481217,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44477611940298506,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46692590173135,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44477611940298506,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44449947571559245,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4809300078695371,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.522313822466778,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4809300078695371,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4926482453246268,Split
Logit,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48854240669921545,Split
kNN,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4880731789572605,Split
SVM,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48854240669921545,Split
RandomForest,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48854240669921545,Split
Logit,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.441720581150866,Split
kNN,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5593562710796061,Split
SVM,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5289750205364642,Split
RandomForest,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44616126433905084,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48666031625071443,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5186899141465663,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48666031625071443,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48666031625071443,Split
Logit,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4988772115667161,Split
kNN,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4988772115667161,Split
SVM,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4988772115667161,Split
RandomForest,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4988772115667161,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4868965517241379,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48642342729050414,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4868965517241379,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4864240807772909,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4802047114896277,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5224885551585002,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4802047114896277,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.594283062700208,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
Logit,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48877669785510225,Split
kNN,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5056062874482622,Split
SVM,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48877669785510225,Split
RandomForest,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48877669785510225,Split
Logit,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.49387755102040815,Split
kNN,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.49387755102040815,Split
SVM,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.49387755102040815,Split
RandomForest,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.49387755102040815,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4970705482207512,Split
Logit,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4838110648790261,Split
kNN,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5357518053247832,Split
SVM,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4838110648790261,Split
RandomForest,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4838110648790261,Split
Logit,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.46346129055062774,Split
kNN,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5259789240463022,Split
SVM,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.46346129055062774,Split
RandomForest,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.46294414552481217,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.45410823312436327,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.49454073390619074,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.44477611940298506,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.44477611940298506,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4809300078695371,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.532031205556021,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4809300078695371,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4926482453246268,Split
Logit,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48854240669921545,Split
kNN,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4880731789572605,Split
SVM,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48854240669921545,Split
RandomForest,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.48854240669921545,Split
Logit,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.49650916142700097,Split
kNN,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5932414328207503,Split
SVM,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.5432660481067054,Split
RandomForest,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.4587163194792967,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.6496881959820752,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.5186899141465663,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.48666031625071443,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.48666031625071443,Split
Logit,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4988772115667161,Split
kNN,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4988772115667161,Split
SVM,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4988772115667161,Split
RandomForest,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4988772115667161,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.5340653902173944,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4868965517241379,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4868965517241379,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4864240807772909,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.5970115775405705,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.49709373225473125,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4802047114896277,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.5857374356255362,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4968437991442051,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4970705482207512,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4970705482207512,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.4970705482207512,Split
Logit,MaffioVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.7137630644651373,Split
kNN,MaffioVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.508608755109281,Split
SVM,MaffioVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.48877669785510225,Split
RandomForest,MaffioVenier,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.48877669785510225,Split
