classifier,author,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,1000,243,L1,0.4882997314039012,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,1000,243,L1,0.4367650971002926,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.5312104478520141,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.6478760967979538,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.669390466127941,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.6026413591163825,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.47510537705872796,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.5194224632057954,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.47510537705872796,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.49217470816455594,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.5057731694978029,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4773107964062738,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4773107964062738,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.5075365230605718,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.474652890522022,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.47598975438148977,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.47598975438148977,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4755463951319879,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.48338937068605436,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.48338937068605436,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.48338937068605436,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.48338937068605436,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4947203924593991,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4947203924593991,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4947203924593991,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4947203924593991,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4951298445023285,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4951298445023285,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4951298445023285,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4951298445023285,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.40776047786973235,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4536758710337263,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.4980604210085593,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.422996927302777,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.584539110379766,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.6958266960147319,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.6946543991794911,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5823811243182858,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.49936645277562325,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5741461077544581,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.47510537705872796,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.47465976152805794,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4865515214707707,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4773107964062738,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.6054987326671362,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5338135593152068,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.47332289766859015,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5535872386819303,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.47598975438148977,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.47145251946450806,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4829592684954281,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5575661342984034,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.48338937068605436,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4794387879591981,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4947203924593991,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4947203924593991,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4938974453546224,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4947203924593991,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4951298445023285,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4951298445023285,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5613731250021817,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.4930521570587874,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.517952988020877,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5621969873598175,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.49146259458752556,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.5099666000219581,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.39019544235829434,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.447989067624331,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.6611524816032378,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.5924560508901999,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47510537705872796,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.5051221245383682,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47510537705872796,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47510537705872796,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4773107964062738,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.5075365230605718,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4773107964062738,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4952574178505635,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47598975438148977,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47510077960131786,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47598975438148977,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.47598975438148977,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.48338937068605436,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4829591961224633,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.48338937068605436,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.48338937068605436,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4947203924593991,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4947203924593991,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4947203924593991,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4947203924593991,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4951298445023285,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4951298445023285,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4951298445023285,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4951298445023285,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4246075715604802,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.34368308889945626,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.484622181641285,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.4240736811240828,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.5311585997589238,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.6383277941746899,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.6655004726489652,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.5913944629944233,Split
