classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
kNN,Count,Char,Bigrams,0.8,0.2,1000,138,StandardScaler,0.16126493157838287,Split
SVM,Count,Char,Bigrams,0.8,0.2,1000,138,StandardScaler,0.14937978464944598,Split
Logit,Count,Char,Bigrams,0.8,0.2,1000,138,StandardScaler,0.24703708023521562,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,1000,138,StandardScaler,0.14633177355992902,Split
kNN,Count,Char,Bigrams,0.8,0.2,1000,138,L1,0.10423797009450643,Split
Logit,Count,Char,Bigrams,0.8,0.2,1000,138,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.8,0.2,1000,138,L1,0.14486504228879513,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,1000,138,L1,0.13852117301071784,Split
kNN,Count,Char,Bigrams,0.8,0.2,1000,138,L2,0.14126329716734923,Split
Logit,Count,Char,Bigrams,0.8,0.2,1000,138,L2,0.14886453880786849,Split
SVM,Count,Char,Bigrams,0.8,0.2,1000,138,L2,0.1514797753868772,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,1000,138,L2,0.14463060508316586,Split
kNN,Count,Char,Bigrams,0.9,0.0,None,277,StandardScaler,0.2205377367450961,Split
SVM,Count,Char,Bigrams,0.9,0.0,None,277,StandardScaler,0.1818231733046386,Split
Logit,Count,Char,Bigrams,0.9,0.0,None,277,StandardScaler,0.3654486266993154,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,None,277,StandardScaler,0.16244419072657237,Split
kNN,Count,Char,Bigrams,0.9,0.0,None,277,L1,0.0854618325657225,Split
Logit,Count,Char,Bigrams,0.9,0.0,None,277,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.9,0.0,None,277,L1,0.16732415484043095,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,None,277,L1,0.15734838687061894,Split
kNN,Count,Char,Bigrams,0.9,0.0,None,277,L2,0.1362372033022064,Split
Logit,Count,Char,Bigrams,0.9,0.0,None,277,L2,0.15693643077491565,Split
SVM,Count,Char,Bigrams,0.9,0.0,None,277,L2,0.16707835906385515,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,None,277,L2,0.16029773715605103,Split
kNN,Count,Char,Bigrams,0.9,0.0,1000,277,StandardScaler,0.2205377367450961,Split
SVM,Count,Char,Bigrams,0.9,0.0,1000,277,StandardScaler,0.1818231733046386,Split
Logit,Count,Char,Bigrams,0.9,0.0,1000,277,StandardScaler,0.3654486266993154,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,1000,277,StandardScaler,0.16862841706511097,Split
kNN,Count,Char,Bigrams,0.9,0.0,1000,277,L1,0.0854618325657225,Split
Logit,Count,Char,Bigrams,0.9,0.0,1000,277,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.9,0.0,1000,277,L1,0.16732415484043095,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,1000,277,L1,0.15047946344441893,Split
kNN,Count,Char,Bigrams,0.9,0.0,1000,277,L2,0.1362372033022064,Split
Logit,Count,Char,Bigrams,0.9,0.0,1000,277,L2,0.15693643077491565,Split
SVM,Count,Char,Bigrams,0.9,0.0,1000,277,L2,0.16707835906385515,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,1000,277,L2,0.15762872096155478,Split
kNN,Count,Char,Bigrams,0.9,0.1,None,191,StandardScaler,0.19617443260124026,Split
SVM,Count,Char,Bigrams,0.9,0.1,None,191,StandardScaler,0.16027257078203302,Split
Logit,Count,Char,Bigrams,0.9,0.1,None,191,StandardScaler,0.3105797245979089,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,None,191,StandardScaler,0.1576305740668836,Split
kNN,Count,Char,Bigrams,0.9,0.1,None,191,L1,0.08837136948238007,Split
Logit,Count,Char,Bigrams,0.9,0.1,None,191,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.9,0.1,None,191,L1,0.16680715055729536,Split
